"Subject"	"1.a"	"1.b"	"1.c"	"1.d"	"1.e"	"2.a"	"2.b"	"2.c"	"2.d"	"2.e"	"2.f"	"2.g"	"2.h"	"Game.affect.distraction"	"Surprise"	"Suspected"	"RA"	"Station"	"Condition"	"Game 1"	"Game 2"	"Game 3"	"Game 4"	"Game 5"	"Game 6"	"Good Session"	"Assignment"	"irritated"	"happy"	"angered"	"helpful"	"pleased"	"annoyed"	"knew.others"	"knew.partner"	"easy.nav"	"excited"	"engaged"	"challenging"	"stressful"	"violence"	"diff.nav"	"reflexes"	"satisfying"	"effective"	"difficult"	"good.fight"	"hard.control"	"mental.effort"	"comfort.control"	"exhausting"	"aggressed"	"enjoyed"	"often.played"	"FPS.experience"	"FPS.skill"	"mkb.experience"	"vg.freq"	"vg.cumul"	"gender"	"age"	"race"	"race2"	"year"	"GPA"	"rating1"	"rating2"	"rating3"	"rating4"	"rating5"	"rating6"	"L_ring_length"	"L_ring_angle"	"L_index_length"	"L_index_angle"	"R_index_length"	"R_index_angle"	"R_ring_length"	"R_ring_angle"
"1"	0	0	0	0	0	0	1	1	0	0	1	1	0	"No"	"No"	3	"Jimmy"	4	1	0	508	17	1650	171	0	"Maybe"	4	5	2	4	4	2	5	"Yes"	"No"	7	4	5	3	3	4	1	1	4	5	1	1	1	4	6	3	4	4	4	5	4	5	3	4	"M"	19	5	-999	2	3.9	NA	NA	NA	NA	NA	NA	913.3	88.62	876.2	85.09	891.5	86.72	925.9	87.46
"2"	1	0	0	0	1	1	0	0	0	0	1	0	0	"No"	"No"	4	"Mallory"	2	2	3	193	3	896	33	95	"Yes"	5	1	4	1	1	7	1	"No"	"No"	2	1	7	6	5	7	3	7	2	1	7	7	7	7	6	6	4	1	5	7	4	1	3	3	"M"	19	2	-999	2	2.5	NA	NA	NA	NA	NA	NA	955.2	88.98	879	76.58	873.8	74.74	971.9	87.52
"3"	0	0	1	0	0	1	0	1	1	0	1	0	0	"Yes"	"No"	3	"Jimmy"	4	3	0	156	5	46	144	0	"Yes"	5	7	2	5	1	1	1	"No"	"No"	7	3	3	2	1	1	1	2	2	3	2	1	3	1	5	1	1	1	1	4	7	3	1	3	"M"	18	5	-999	1	3.3	10	10	10	10	10	10	940.2	87.07	909.4	79.8	903.4	81.28	933.4	86.87
"4"	1	0	0	0	0	1	0	0	0	1	0	1	0	"No"	"No"	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4	1	4	7	4	"No"	"No"	7	4	4	3	1	4	1	1	6	7	3	3	2	2	7	1	4	6	1	7	1	5	4	6	"M"	18	5	-999	1	3.69	NA	NA	NA	NA	NA	NA	873.2	88.2	886	77.22	883.5	79.24	869.8	86.31
"5"	0	0	1	0	0	1	1	0	0	1	1	0	0	"No"	"No"	1	"Danielle"	4	1	0	485	19	1134	227	0	"Maybe"	2	1	4	1	1	1	1	"No"	"No"	7	1	1	1	1	7	1	1	7	7	1	1	1	1	7	1	1	2	7	7	7	7	7	7	"M"	18	5	-999	1	3.3	0	0	0	0	0	0	856	89.93	865.6	79.82	871.5	78.82	876.4	86.73
"6"	0	1	0	0	0	1	0	0	0	0	0	1	0	"Maybe"	"Maybe"	1	"JC"	2	2	4	286	6	1444	101	100	"Yes"	9	4	7	1	4	7	1	"No"	"No"	6	6	6	3	2	3	2	4	4	6	2	5	2	5	3	2	1	6	2	5	5	2	2	3	"M"	21	5	-999	3	3.3	7	5	7	8	6	7	910.3	88.62	905.2	87.02	856.4	86.72	900.2	88.73
"7"	1	0	1	0	1	0	1	0	0	1	1	0	0	"Maybe"	"Yes"	3	"Stephen"	2	3	0	96	22	87	111	0	"Yes"	7	5	2	5	1	1	5	"No"	"No"	6	3	5	2	3	4	2	3	5	3	5	3	5	3	5	4	3	3	3	5	2	3	2	4	"M"	19	5	-999	1	3.7	NA	NA	NA	NA	NA	NA	893.6	87.88	863.5	85.62	848.8	71.95	902	82.87
"8"	0	0	0	0	1	1	0	0	0	0	0	0	0	"Maybe"	"Yes"	3	"Melissa"	4	4	0	368	12	1267	126	60	"CONFLICT!"	5	1	4	1	4	4	4	"Yes"	"No"	6	3	4	3	2	2	3	4	5	6	3	4	4	2	5	2	2	4	3	5	4	4	5	5	"M"	19	3	-999	2	3.91	7	7	7	7	4	6	931.3	88.52	830.4	85.65	949.1	86.19	827.9	83.13
"9"	1	0	0	0	0	0	0	0	0	0	1	0	0	"No"	"Yes"	4	"Melissa"	4	1	0	366	13	1251	154	0	"CONFLICT!"	9	5	3	4	1	1	5	"No"	"No"	7	7	7	1	1	7	2	1	3	5	3	1	1	1	7	1	1	5	4	7	5	7	4	4	"M"	18	2	-999	1	3.3	8	7	8	10	7	8	914.9	82.46	861	83.8	864	89.6	902	89.87
"10"	0	1	0	0	0	0	0	0	0	0	0	1	0	"Yes"	"No"	4	"SC"	2	2	2	229	6	730	75	80	"Yes"	4	6	2	5	1	1	5	"No"	"No"	6	6	6	3	3	5	2	2	6	6	2	2	2	2	4	2	6	6	5	6	4	6	4	6	"M"	18	6	-999	1	3.83	NA	NA	NA	NA	NA	NA	910	87.35	853.4	88.25	866	89.67	921.9	82.02
